fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,fourth_down_attempts_game,num_of_,num_of_CENTER,num_of_DEEP LEFT,num_of_DEEP RIGHT,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT TACKLE,num_of_PASS,num_of_PUNT,num_of_RIGHT END,num_of_RIGHT TACKLE,num_of_RUSH,num_of_SACK,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_UNDER CENTER,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalties_game,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_defensive_penalty_yards_game,num_of_fumbles_q1,field,num_of_fumbles_q3,num_of_fumbles_q4,num_of_fumbles_game,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_caught_game,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_interceptions_caught_game,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalties_game,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_offensive_penalty_hards_game,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_attempted_game,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_passes_completed_game,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_sacks_game,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,num_of_times_sacked_game,num_of_first_downs_q1,num_of_first_downs_q2,num_of_first_downs_q3,num_of_first_downs_q4,num_of_first_downs_game,num_of_successful_fourth_downs_q1,num_of_successful_fourth_downs_q2,num_of_successful_fourth_downs_q3,num_of_successful_fourth_downs_q4,num_of_successful_fourth_downs_game,num_of_successful_third_downs_q1,num_of_successful_third_downs_q2,num_of_successful_third_downs_q3,num_of_successful_third_downs_q4,num_of_successful_third_downs_game,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,third_down_attempts_game,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_allowed_game,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4,yards_moved_game
1,2,1,2,6,52,9,3,5,5,1,1,37,5,4,1,27,4,11,5,13,55,17,2,1,0,1,4,10,23,0,15,48,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,4,0,15,5,5,25,9,4,8,16,37,8,1,3,8,20,0,0,0,0,0,1,1,0,2,4,9,7,10,6,32,0,0,0,0,0,1,3,3,3,10,24,2,6,5,6,19,119,107,114,117,457,147,66,115,75,403
2,2,1,3,8,70,15,2,3,7,1,5,37,6,2,5,33,,5,11,12,66,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,8,37,3,7,7,3,20,1,1,0,2,4,0,0,0,0,0,5,12,15,16,48,0,0,0,0,0,2,1,1,2,6,38,5,4,2,5,16,147,66,115,75,403,119,107,114,117,457
2,3,0,2,7,46,17,3,1,6,4,1,34,6,1,2,27,2,6,4,17,46,23,0,2,1,2,5,0,16,8,15,39,0,1,0,1,2,0,0,1,0,1,0,1,0,0,1,0,3,0,1,4,0,18,0,10,28,8,6,7,13,34,3,1,3,9,16,0,1,0,0,1,0,1,0,1,2,5,2,14,8,29,0,0,0,0,0,1,0,1,1,3,38,3,3,2,3,11,122,69,76,142,409,79,45,155,124,403
1,3,2,1,7,64,8,,3,7,3,4,40,5,2,2,28,1,14,11,10,54,40,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,9,9,11,40,10,4,5,8,27,0,1,0,1,2,0,1,0,0,1,11,14,5,15,45,0,0,0,0,0,2,1,2,4,9,29,3,5,4,5,17,79,45,155,124,403,122,69,76,142,409
2,1,1,3,7,49,10,1,2,5,4,4,41,3,5,2,30,2,10,11,15,35,44,1,1,2,1,5,33,5,39,14,91,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,2,3,0,5,0,5,10,7,12,11,11,41,5,7,7,8,27,0,0,0,0,0,0,1,0,1,2,4,7,11,5,27,0,0,1,0,1,3,1,1,3,8,26,5,4,3,6,18,30,51,39,207,327,69,97,101,87,354
1,4,1,1,7,50,10,2,4,6,1,4,33,3,,1,18,,8,6,11,29,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,10,11,6,33,5,5,7,5,22,0,1,0,1,2,0,0,0,0,0,4,10,4,16,34,0,0,0,1,1,1,1,2,0,4,27,2,5,4,1,12,69,97,101,87,354,30,51,39,207,327
3,2,1,2,8,30,6,4,2,4,1,3,40,6,,,12,2,8,12,11,27,28,2,3,2,3,10,5,38,6,35,84,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,2,1,4,5,0,10,5,20,7,14,11,8,40,1,9,5,4,19,1,0,0,1,2,0,0,1,1,2,0,7,3,6,16,0,0,0,0,0,0,2,1,0,3,20,3,6,4,1,14,137,105,53,111,406,9,136,60,100,305
2,2,2,2,8,81,22,1,2,7,2,4,39,4,,2,40,2,12,8,14,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,11,4,11,39,9,4,3,5,21,0,0,1,1,2,1,0,0,1,2,12,16,5,15,48,0,0,0,0,0,1,2,1,1,5,36,3,6,3,6,18,9,136,60,100,305,137,105,53,111,406
1,3,1,5,10,56,17,2,,5,2,9,33,5,1,5,39,,12,7,10,21,61,0,1,1,1,3,0,15,0,5,20,0,2,0,0,2,0,0,0,1,1,0,0,1,0,1,0,2,0,1,3,0,18,0,5,23,9,13,9,2,33,6,7,5,1,19,0,0,1,1,2,0,0,0,0,0,7,8,7,1,23,0,0,0,1,1,1,2,2,0,5,24,3,6,5,5,19,39,11,109,105,264,83,184,94,38,399
2,3,2,2,9,40,10,2,2,2,,,35,8,3,1,15,2,11,5,12,35,24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,10,7,12,35,3,5,5,8,21,0,0,0,0,0,0,0,1,1,2,4,4,8,5,21,0,0,0,0,0,2,0,0,0,2,6,5,4,2,2,13,83,184,94,38,399,39,11,109,105,264
