fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,num_of_,num_of_(4:03) (NO,num_of_(55-A.BROOKS) [53-NBOWMAN],num_of_(6:33) 11-ASMITH,num_of_(6:41) (SHOTGUN),num_of_(94-C.LIUGET) [99-JBOSA],num_of_(:15) (SHOTGUN),num_of_(SHOTGUN) 10-THILL,num_of_BACK TO,num_of_CENTER,num_of_CLOCK STOP,num_of_DEEP LEFT,num_of_DEEP MIDDLE,num_of_DEEP RIGHT,num_of_EXCEPTION,num_of_EXTRA POINT,num_of_FIELD GOAL,num_of_FUMBLES,num_of_INTENDED FOR,num_of_INTERCEPTED BY,num_of_KESSLER THROUGH,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT GUARD,num_of_LEFT TACKLE,num_of_LEFT TO,num_of_MIDDLE TO,num_of_MIDDLE [55-FCLARK],num_of_MIDDLE [56-SEBUKAM],num_of_MIDDLE. PENALTY,num_of_NO HUDDLE,num_of_NO HUDDLE SHOTGUN,num_of_NO PLAY,num_of_NOT LISTED,num_of_PASS,"num_of_PASS RULING,",num_of_PENALTY,num_of_PUNT,num_of_QB KNEEL,num_of_RIGHT (58-JHICKS),num_of_RIGHT END,num_of_RIGHT GUARD,num_of_RIGHT TACKLE,num_of_RIGHT TO,num_of_RIGHT. PENALTY,"num_of_RULING, AND",num_of_RUSH,num_of_SACK,num_of_SCRAMBLE,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_TIMEOUT,num_of_TWO-POINT CONVERSION,num_of_UNDER CENTER,num_of_WILDCAT,num_of_YARDS &,num_of_[33-E.GAINES]. LA-33-EGAINES,num_of_[57-N.SPENCE]. PENALTY,num_of_[58-H.LANDRY III],num_of_attempted_two_pt_conversions,num_of_completed_two_pt_conversions,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_fumbles_q1,num_of_fumbles_q2,num_of_fumbles_q3,num_of_fumbles_q4,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,number_of_first_downs_q1,number_of_first_downs_q2,number_of_first_downs_q3,number_of_first_downs_q4,number_of_successful_fourth_downs_q1,number_of_successful_fourth_downs_q2,number_of_successful_fourth_downs_q3,number_of_successful_fourth_downs_q4,number_of_successful_third_downs_q1,number_of_successful_third_downs_q2,number_of_successful_third_downs_q3,number_of_successful_third_downs_q4,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4
1,2,1,2,52,,,,,,,,,9,,3,,5,,3,1,,,,,5,1,6,1,,,,,,,11,3,,37,,,5,,,4,5,1,,,,27,4,3,11,5,13,55,,,17,,,,,,0,0,2,1,0,1,10,23,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,15,5,5,9,4,8,16,8,1,3,8,0,0,0,0,1,1,0,2,9,7,10,6,0,0,0,0,1,3,3,3,24,2,6,5,6,119,107,114,117,147,66,115,75
2,2,1,3,70,,,,,,,,,15,,2,4,3,,3,3,,,,,7,1,3,5,,,,,,,7,2,,37,,,6,,,2,2,5,,,,33,,,5,11,12,66,9,1,22,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,8,3,7,7,3,1,1,0,2,0,0,0,0,5,12,15,16,0,0,0,0,2,1,1,2,38,5,4,2,5,147,66,115,75,119,107,114,117
2,3,0,2,46,,,,,,,,,17,,3,3,1,,3,,,,,,6,4,2,1,,,,,,1,4,,,34,,,6,,,1,,2,,,,27,2,,6,4,17,46,,2,23,,,,,,2,2,0,2,1,2,0,16,8,15,0,1,0,1,0,0,1,0,0,1,0,0,0,3,0,1,0,18,0,10,8,6,7,13,3,1,3,9,0,1,0,0,0,1,0,1,5,2,14,8,0,0,0,0,1,0,1,1,38,3,3,2,3,122,69,76,142,79,45,155,124
1,3,2,1,64,,,,,,,,,8,,,2,3,,3,2,1,,,,7,3,6,4,,,,,,,,1,,40,,,5,2,,2,3,2,,,,28,1,1,14,11,10,54,6,1,40,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,9,9,11,10,4,5,8,0,1,0,1,0,1,0,0,11,14,5,15,0,0,0,0,2,1,2,4,29,3,5,4,5,79,45,155,124,122,69,76,142
2,1,1,3,49,,,,,,,,,10,,1,2,2,,2,2,,,,,5,4,3,4,,,,,,5,1,2,,41,,,3,,,5,2,2,,,,30,2,2,10,11,15,35,,,44,,,,,,0,0,1,1,2,1,33,5,39,14,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,5,0,5,7,12,11,11,5,7,7,8,0,0,0,0,0,1,0,1,4,7,11,5,0,0,1,0,3,1,1,3,26,5,4,3,6,30,51,39,207,69,97,101,87
1,4,1,1,50,,,,,,,,,10,,2,2,4,,3,2,,,,,6,1,2,4,,,,,,,2,3,,33,,,3,2,,,,1,,,,18,,,8,6,11,29,7,,44,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,10,11,6,5,5,7,5,0,1,0,1,0,0,0,0,4,10,4,16,0,0,0,1,1,1,2,0,27,2,5,4,1,69,97,101,87,30,51,39,207
3,2,1,2,30,,,,,,,,,6,,4,3,2,,2,2,,,,,4,1,2,3,,,,,,,7,2,,40,,,6,,,,,,,,,12,2,,8,12,11,27,,,28,,,,,,0,0,2,3,2,3,5,38,6,35,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,1,5,0,10,5,7,14,11,8,1,9,5,4,1,0,0,1,0,0,1,1,0,7,3,6,0,0,0,0,0,2,1,0,20,3,6,4,1,137,105,53,111,9,136,60,100
2,2,2,2,81,,,,,,,,,22,,1,2,2,,3,4,,,,,7,2,6,4,,,,,,,,3,,39,,,4,3,,,4,2,,,,40,2,1,12,8,14,40,9,,69,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13,11,4,11,9,4,3,5,0,0,1,1,1,0,0,1,12,16,5,15,0,0,0,0,1,2,1,1,36,3,6,3,6,9,136,60,100,137,105,53,111
1,3,1,5,56,,,,,,,,,17,,2,2,,,3,2,,,,,5,2,3,9,,,,,,,,,,33,,,5,2,,1,2,5,,,,39,,,12,7,10,21,,,61,,,,,,0,0,0,1,1,1,0,15,0,5,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,18,0,5,9,13,9,2,6,7,5,1,0,0,1,1,0,0,0,0,7,8,7,1,0,0,0,1,1,2,2,0,24,3,6,5,5,39,11,109,105,83,184,94,38
2,3,2,2,40,,,,,,,,,10,,2,3,2,,,,1,,,,2,,1,,,,,,,,5,3,,35,,,8,,,3,,1,,,,15,2,,11,5,12,35,2,1,24,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,10,7,12,3,5,5,8,0,0,0,0,0,0,1,1,4,4,8,5,0,0,0,0,2,0,0,0,6,5,4,2,2,83,184,94,38,39,11,109,105
2,0,0,2,36,,,,,,,,,10,,4,,1,1,2,1,,,,,6,2,3,1,,,,,,,8,,,31,,,2,1,,,1,2,,,,19,,3,9,11,6,27,,1,29,,,,,,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,20,3,9,6,13,2,7,5,8,0,0,0,1,0,0,0,0,2,11,8,8,0,0,0,0,0,3,1,0,25,2,3,1,2,86,160,169,55,72,121,88,121
